grid,x_over_d,quantity,exp,rms,n_pts
coarse,0.75,temperature,T,284.6481024449226,15
coarse,0.75,ch4,Y_CH4,0.013768803761242262,15
coarse,0.75,o2,Y_O2,0.025487509017040524,15
coarse,0.75,co2,Y_CO2,0.021568638553049163,15
coarse,3.0,temperature,T,269.2186665621782,14
coarse,3.0,ch4,Y_CH4,0.025955400625849785,14
coarse,3.0,o2,Y_O2,0.03497164158943378,14
coarse,3.0,co2,Y_CO2,0.019441675038709107,14
coarse,15.0,temperature,T,866.7260055155342,13
coarse,15.0,ch4,Y_CH4,0.015933454863788447,13
coarse,15.0,o2,Y_O2,0.10912372130797875,13
coarse,15.0,co2,Y_CO2,0.07096382169785455,13
coarse,30.0,temperature,T,514.0128739485414,11
coarse,30.0,ch4,Y_CH4,0.016402454201196168,11
coarse,30.0,o2,Y_O2,0.04280729683145362,11
coarse,30.0,co2,Y_CO2,0.04302916634168143,11
coarse,45.0,temperature,T,214.73204938525933,9
coarse,45.0,ch4,Y_CH4,0.0012562176761140038,9
coarse,45.0,o2,Y_O2,0.04916890029872072,9
coarse,45.0,co2,Y_CO2,0.017825163209557054,9
coarse,60.0,temperature,T,424.1974852394589,7
coarse,60.0,ch4,Y_CH4,0.0001538551439627875,7
coarse,60.0,o2,Y_O2,0.04991720208485369,7
coarse,60.0,co2,Y_CO2,0.038805368469923406,7
medium,0.75,temperature,T,292.0595427435324,15
medium,0.75,ch4,Y_CH4,0.013699234511587532,15
medium,0.75,o2,Y_O2,0.02657293049489739,15
medium,0.75,co2,Y_CO2,0.022374925984056902,15
medium,3.0,temperature,T,284.35608035569,14
medium,3.0,ch4,Y_CH4,0.025699500950567385,14
medium,3.0,o2,Y_O2,0.03530233095391937,14
medium,3.0,co2,Y_CO2,0.020686211146589136,14
medium,15.0,temperature,T,874.2513755186903,13
medium,15.0,ch4,Y_CH4,0.015984595913542413,13
medium,15.0,o2,Y_O2,0.10853358847581011,13
medium,15.0,co2,Y_CO2,0.07179562496108483,13
medium,30.0,temperature,T,554.7681139571577,11
medium,30.0,ch4,Y_CH4,0.01450058972366609,11
medium,30.0,o2,Y_O2,0.04618120002434588,11
medium,30.0,co2,Y_CO2,0.048382276143854604,11
medium,45.0,temperature,T,135.55338161906914,9
medium,45.0,ch4,Y_CH4,0.0012445777825455086,9
medium,45.0,o2,Y_O2,0.03916302610394966,9
medium,45.0,co2,Y_CO2,0.008132083959493958,9
medium,60.0,temperature,T,248.99987322001397,7
medium,60.0,ch4,Y_CH4,0.0001538120741000487,7
medium,60.0,o2,Y_O2,0.04335670701170522,7
medium,60.0,co2,Y_CO2,0.028823584750529464,7
fine,0.75,temperature,T,294.3222750708321,15
fine,0.75,ch4,Y_CH4,0.013439941342424195,15
fine,0.75,o2,Y_O2,0.02668175987123279,15
fine,0.75,co2,Y_CO2,0.022794598279475685,15
fine,3.0,temperature,T,277.91424002177837,14
fine,3.0,ch4,Y_CH4,0.025813836403402943,14
fine,3.0,o2,Y_O2,0.03635621212787677,14
fine,3.0,co2,Y_CO2,0.020326773680949817,14
fine,15.0,temperature,T,797.5383374438225,13
fine,15.0,ch4,Y_CH4,0.015762438472759936,13
fine,15.0,o2,Y_O2,0.10890116594737086,13
fine,15.0,co2,Y_CO2,0.0661275496447251,13
fine,30.0,temperature,T,385.0874295121324,11
fine,30.0,ch4,Y_CH4,0.01599273065199924,11
fine,30.0,o2,Y_O2,0.0428600337408649,11
fine,30.0,co2,Y_CO2,0.03453784692732074,11
fine,45.0,temperature,T,308.16089366260076,9
fine,45.0,ch4,Y_CH4,0.0012583060606042185,9
fine,45.0,o2,Y_O2,0.04444419547826943,9
fine,45.0,co2,Y_CO2,0.025439312281881683,9
fine,60.0,temperature,T,413.63165231505843,7
fine,60.0,ch4,Y_CH4,0.00015367864595377438,7
fine,60.0,o2,Y_O2,0.03438817787774814,7
fine,60.0,co2,Y_CO2,0.03885752545584552,7
