profile,x_over_d,r_over_d,x_m,y_m,temperature,ch4,o2,co2,h2o,co,T_std
radial,0.75,2.1496968757775097,0.005400000140070915,0.015477817505598068,315.8649597167969,6.573307995694222e-07,0.22982771694660187,0.0018486244516680017,0.00760284619173035,6.2277805170651845e-06,25.56187437332143
radial,0.75,2.1865234399835267,0.005400000140070915,0.015742968767881393,313.31644439697266,6.129569509738531e-07,0.23010620661079884,0.0016558420757064596,0.007455521554220468,5.597852151595362e-06,25.992598768050645
radial,0.75,2.2239012954135737,0.005400000140070915,0.01601208932697773,311.05776596069336,5.725429303993224e-07,0.23035807348787785,0.0014798715856159106,0.007321004115510732,5.031501984831266e-06,26.354527790685886
radial,0.75,2.2618392378919654,0.005400000140070915,0.01628524251282215,309.0743942260742,5.357415515661046e-07,0.23058456927537918,0.001319948562013451,0.007198709761723876,4.523745943174617e-06,26.647518906462075
radial,0.75,2.300345287140873,0.005400000140070915,0.016562486067414284,307.3533020019531,5.022335161086744e-07,0.2307867892086506,0.001175377477920847,0.007088105718139559,4.070086603746859e-06,26.870958003037646
radial,0.75,2.3394282389846115,0.005400000140070915,0.0168438833206892,305.8909492492676,4.718665658209886e-07,0.23096448928117752,0.0010462875397934113,0.006989287387114018,3.668563017811266e-06,27.020248632170222
radial,0.75,2.3790963718460665,0.005400000140070915,0.01712949387729168,304.7060432434082,4.449381094673299e-07,0.23111317493021488,0.0009354938520118594,0.006904393434524536,3.3243581647468545e-06,27.080981012821596
radial,0.75,2.4193587402502694,0.005400000140070915,0.01741938292980194,303.84561920166016,4.2262606980703055e-07,0.2312197033315897,0.0008512722715749987,0.006839716341346502,3.0562780040099824e-06,27.02600382387766
radial,0.75,2.460223881320821,0.005400000140070915,0.01771361194550991,303.318359375,4.0587575561579214e-07,0.23127340152859688,0.0008003476043541013,0.006800368137191981,2.878208703815943e-06,26.845762422948187
radial,0.75,2.501701366984182,0.005400000140070915,0.01801224984228611,303.0251121520996,3.934376991837629e-07,0.23128591664135456,0.0007753829430612313,0.006780765601433814,2.768581596312991e-06,26.580453226823362
radial,0.75,2.5437999930646686,0.005400000140070915,0.018315359950065613,302.8356132507324,3.8297198281384004e-07,0.2312802765518427,0.0007618580009491893,0.006769863422960043,2.689424017654485e-06,26.286134125307658
radial,0.75,2.586529072788027,0.005400000140070915,0.01862300932407379,302.68133544921875,3.731874365945839e-07,0.23126929812133312,0.0007516526459507844,0.006761483731679618,2.6201016180178727e-06,25.992872524992187
radial,0.75,2.6298981780807176,0.005400000140070915,0.018935266882181168,302.5417938232422,3.637289384056451e-07,0.23125646449625492,0.0007425543324968142,0.006753943336661905,2.554988939997265e-06,25.70903386150153
radial,0.75,2.673916880869203,0.005400000140070915,0.019252201542258263,302.4113121032715,3.5449991497804275e-07,0.23124263063073158,0.0007340698119589484,0.006746868253685534,2.4926259958666774e-06,25.434634675225524
radial,0.75,2.718594753079944,0.005400000140070915,0.019573882222175598,302.28807830810547,3.4546525833023135e-07,0.23122801072895527,0.0007260644738263586,0.006740156444720924,2.432510154618873e-06,25.169243322987096
