profile,x_over_d,r_over_d,x_m,y_m,temperature,ch4,o2,co2,h2o,co
radial,0.75,0.0,0.005400000140070915,0.0,294.3844909667969,0.15632778406143188,0.19643177092075348,4.0850802179193124e-05,4.3501684558577836e-05,7.962849849718623e-06
radial,0.75,0.062499998926392034,0.005400000140070915,0.00044999999227002263,294.4956970214844,0.15631768107414246,0.19641542434692383,5.064124343334697e-05,5.392399907577783e-05,9.868349479802419e-06
radial,0.75,0.12499999785278407,0.005400000140070915,0.0008999999845400453,294.9132080078125,0.15628142654895782,0.1963563710451126,8.596746192779392e-05,9.154349390882999e-05,1.6753305317251943e-05
radial,0.75,0.18750000486357346,0.005400000140070915,0.0013500000350177288,295.95025634765625,0.1561977118253708,0.19621862471103668,0.00016822724137455225,0.00017921639664564282,3.2837706385180354e-05
radial,0.75,0.24999999570556813,0.005400000140070915,0.0017999999690800905,298.4169616699219,0.15601548552513123,0.19591376185417175,0.0003497278376016766,0.0003729474847204983,6.853299419162795e-05
radial,0.75,0.31249998654756284,0.005400000140070915,0.0022499999031424522,304.4794921875,0.1556098461151123,0.19521717727184296,0.0007625616854056716,0.0008146008476614952,0.00015044368046801537
radial,0.75,0.3750000097271469,0.005400000140070915,0.0027000000700354576,321.7690124511719,0.1545705795288086,0.19336281716823578,0.0018545360071584582,0.001986380200833082,0.00036965985782444477
radial,0.75,0.437500032906731,0.005400000140070915,0.003150000236928463,389.3739318847656,0.1508709043264389,0.18641598522663116,0.005914447363466024,0.006356722675263882,0.0011942865094169974
radial,0.75,0.49999999141113627,0.005400000140070915,0.003599999938160181,618.8045654296875,0.1385805755853653,0.1619640290737152,0.02012460120022297,0.021657276898622513,0.004079398699104786
radial,0.75,0.5347222193247743,0.005400000140070915,0.0038499999791383743,887.1465454101562,0.12354675680398941,0.13164591789245605,0.037828076630830765,0.04057817906141281,0.007562742102891207
radial,0.75,0.5752314528864291,0.005400000140070915,0.0041416664607822895,1298.1776123046875,0.0984964445233345,0.08348320424556732,0.06680222600698471,0.0705828070640564,0.012521174736320972
