case,x_over_d,rms_K
轴对称·二阶（基准）,0.75,210.66963751886635
轴对称·二阶（基准）,1.0,222.45757071400433
轴对称·二阶（基准）,2.0,223.679487374349
轴对称·二阶（基准）,3.0,180.96786011615208
轴对称·二阶（基准）,15.0,437.6169515798485
轴对称·二阶（基准）,30.0,310.7916282950426
轴对称·二阶（基准）,45.0,141.80905088272044
轴对称·二阶（基准）,60.0,142.88903238994035
轴对称·二阶（基准）,75.0,64.12027727596931
全域平面·二阶,0.75,184.22782869095897
全域平面·二阶,1.0,239.99433599632292
全域平面·二阶,2.0,289.8386474369163
全域平面·二阶,3.0,296.2377003002606
全域平面·二阶,15.0,648.3035090650695
全域平面·二阶,30.0,619.891949283675
全域平面·二阶,45.0,744.8653984816099
全域平面·二阶,60.0,559.2199172185764
全域平面·二阶,75.0,588.5124124640993
