model,x_over_d,quantity,exp,rms,n_pts
np_eq,3,temperature,T,202.07124958349266,14
np_eq,3,ch4,Y_CH4,0.013278611840929037,14
np_eq,3,o2,Y_O2,0.027674849327311443,14
np_eq,3,co2,Y_CO2,0.016927705986133388,14
np_eq,15,temperature,T,482.5587559338594,13
np_eq,15,ch4,Y_CH4,0.04558154757046975,13
np_eq,15,o2,Y_O2,0.0801821461885034,13
np_eq,15,co2,Y_CO2,0.03063745410615579,13
np_eq,30,temperature,T,378.94373015891426,11
np_eq,30,ch4,Y_CH4,0.02727466268888365,11
np_eq,30,o2,Y_O2,0.039795237041616915,11
np_eq,30,co2,Y_CO2,0.021620484040678012,11
np_eq,45,temperature,T,136.94076474850726,9
np_eq,45,ch4,Y_CH4,0.0013044270129883003,9
np_eq,45,o2,Y_O2,0.03156500938844022,9
np_eq,45,co2,Y_CO2,0.007085127123545844,9
np_eq,60,temperature,T,153.59076098352588,7
np_eq,60,ch4,Y_CH4,0.0001543593627129296,7
np_eq,60,o2,Y_O2,0.02973790275861375,7
np_eq,60,co2,Y_CO2,0.015470556385635326,7
edm,3,temperature,T,282.3366215419754,14
edm,3,ch4,Y_CH4,0.025966867324096095,14
edm,3,o2,Y_O2,0.03523635755367141,14
edm,3,co2,Y_CO2,0.020435241997775265,14
edm,15,temperature,T,897.6350481764717,13
edm,15,ch4,Y_CH4,0.0164345128334107,13
edm,15,o2,Y_O2,0.11149300784715725,13
edm,15,co2,Y_CO2,0.07382916442024105,13
edm,30,temperature,T,586.8755037008733,11
edm,30,ch4,Y_CH4,0.01407369676075414,11
edm,30,o2,Y_O2,0.05111969066430639,11
edm,30,co2,Y_CO2,0.0512580513781992,11
edm,45,temperature,T,175.3521942496466,9
edm,45,ch4,Y_CH4,0.0012371609408989646,9
edm,45,o2,Y_O2,0.03325225766932343,9
edm,45,co2,Y_CO2,0.009015695661454496,9
edm,60,temperature,T,118.86741126294622,7
edm,60,ch4,Y_CH4,0.0001536274819181835,7
edm,60,o2,Y_O2,0.03268801104550244,7
edm,60,co2,Y_CO2,0.01749130101472178,7
