model,x_over_d,rms_temperature,scale_temperature,rms_ch4,scale_ch4,rms_o2,scale_o2,rms_co2,scale_co2,rms_h2o,scale_h2o,rms_co,scale_co,mean_rms_6,mean_norm_err
np_eq,0.75,196.84187892284595,1464.0,0.028008983931486684,0.154,0.03205786266491168,0.1826,0.010275661900775999,0.0959,0.01160050186999781,0.09856000000000001,0.034940110786864896,0.0326,32.826460340666664,0.2980878120937947
np_eq,1.0,241.87143175665366,1593.0,0.007524330717377277,0.158,0.025483344746638246,0.191,0.024599469759214846,0.112,0.013743714863533736,0.09896,0.0611880892819709,0.0223,40.333995117670405,0.5725428438084256
np_eq,2.0,233.73098934288222,1663.0,0.01316883878864679,0.156,0.02075256924573327,0.19940000000000002,0.02251769091815346,0.113,0.014099270540680109,0.104512,0.07228280117728819,0.0316,38.978968418925454,0.4917743798563023
np_eq,3.0,197.67943446575273,1647.0,0.013053586152196872,0.155,0.026875068778789504,0.1986,0.016705951240785128,0.112,0.014650479312549394,0.10447999999999999,0.06275193067957154,0.0319,32.968911913652775,0.43268191377665666
np_eq,15.0,476.9971817288558,1332.0,0.04369062045679184,0.135,0.07822781361084528,0.1703,0.030313319678260398,0.08367300000000001,0.028958737917720315,0.08567,0.08448606212738974,0.0294,79.54380971377448,0.7858464244000417
np_eq,30.0,404.1160132948773,1414.0,0.025089100691692675,0.0602,0.04358674611521149,0.1859,0.021775047367705712,0.091294,0.027620280672672033,0.09484000000000001,0.020784067608272873,0.0392,67.37581142288882,0.33282899065970106
np_eq,45.0,148.0275156416926,1301.0,0.0012374936517006007,0.00289,0.027904822603884098,0.1767,0.008536403700127041,0.0827,0.013287449673750505,0.09280000000000001,0.018524210231751152,0.035775,24.682834336925637,0.2440171672641477
np_eq,60.0,146.48608628190405,827.0,0.00014439396265078172,0.000279,0.027182981906674675,0.0986,0.014165566529511578,0.06169999999999999,0.009911504291962444,0.0498,0.000516190870674476,0.000995,24.423001153244247,0.31962646958239155
np_eq,75.0,64.4699749860114,429.0,1.437735487956076e-05,2.75e-05,0.013919780915563366,0.046999999999999986,0.006945537716803524,0.0309,0.0038528171263498487,0.0245,0.00024051309643110201,0.000291,10.7491580020369,0.3629660215632305
edm,0.75,284.5746389634615,1464.0,0.013773051854732751,0.154,0.02575458127140214,0.1826,0.021547740896224132,0.0959,0.016781605802814212,0.09856000000000001,0.008863967173654985,0.0326,47.443559985076725,0.18195318839131558
edm,1.0,147.47899818956776,1593.0,0.02682110250012831,0.158,0.023558304703243327,0.191,0.01388523995903046,0.112,0.011659068397814262,0.09896,0.003477824737945979,0.0223,24.593066621644322,0.13057045410573606
edm,2.0,160.82039941075942,1663.0,0.03078824371931281,0.156,0.020440189655506903,0.19940000000000002,0.012015424822302312,0.113,0.011513653241584326,0.104512,0.005786267759885899,0.0316,26.816823864993,0.1326967971061607
edm,3.0,282.3366215419754,1647.0,0.025966867324096095,0.155,0.03523635755367141,0.1986,0.020435241997775265,0.112,0.01933080114886356,0.10447999999999999,0.005615355883492778,0.0319,47.07386769431388,0.176647225329444
edm,15.0,897.6350481764717,1332.0,0.0164345128334107,0.135,0.11149300784715725,0.1703,0.07382916442024105,0.08367300000000001,0.06335537723925629,0.08567,0.011495294356496997,0.0294,149.65194258886137,0.5772002128663524
edm,30.0,546.1030138485274,1414.0,0.012945918254047149,0.0602,0.047520030743717225,0.1859,0.0475387895615875,0.091294,0.029741668557061958,0.09484000000000001,0.018996507938513804,0.0392,91.04329279393039,0.3626344189305417
edm,45.0,183.86802953330246,1301.0,0.0011736769974561101,0.00289,0.032078350570382046,0.1767,0.009918541697460127,0.0827,0.015364547388525435,0.09280000000000001,0.018341605730015274,0.035775,30.657484375947718,0.2545299633228304
edm,60.0,124.2954402042679,827.0,0.00014370897272327426,0.000279,0.030664753536659473,0.0986,0.01656732905074783,0.06169999999999999,0.01196400988681765,0.0498,0.0005138414407537874,0.000995,20.72588230785927,0.3335938721360859
edm,75.0,68.91039587599695,429.0,1.4368680010554768e-05,2.75e-05,0.016066727686697556,0.046999999999999986,0.00848122212853263,0.0309,0.005119387838006326,0.0245,0.00024519844793610197,0.000291,11.490053796796358,0.3918345303746939
