model,x_over_d,relrms_temperature,meanabs_temperature,relrms_ch4,meanabs_ch4,relrms_o2,meanabs_o2,relrms_co2,meanabs_co2,relrms_h2o,meanabs_h2o,relrms_co,meanabs_co,mean_relrms_6
np_eq,0.75,22.855786675351,20.139000206111785,64.09914495733696,46.3924748244191,32.03609839267837,20.926861619273474,48.36344422853132,40.243803940070585,43.380133270418455,34.26299799620098,343.4170995664313,211.90389471968317,92.35861784845791
np_eq,1.0,22.730093461017898,18.49830589939035,15.05203896068064,13.412908168008023,40.99052062465867,29.42702724496669,29.501056861125747,26.138126341784595,54.55223203499596,35.97185685124393,749.8714718618565,731.5697397125832,152.11623563405593
np_eq,2.0,19.7262530207005,15.197152780006544,27.743785722276336,22.438678710274417,36.73689755126671,25.37545557757687,68.85148124103524,39.4690424411222,47.80280847338735,31.457651705571216,974.6954650363193,861.7610776567535,195.92611517416424
np_eq,3.0,25.382955156232455,17.812504268282627,29.571882680925352,21.333192311505254,37.475488487014275,25.21824350915704,34.865366096379525,24.071632853378738,56.00112318494152,38.12180706412088,737.8699352852143,711.4834924361094,153.5277918151179
np_eq,15.0,89.8058720013366,70.74843166990699,76.51064445473911,73.5347566481135,59.430939261287136,55.210735874894986,165.85749657179085,118.071427707563,172.86293230961294,123.52733914052617,1264.572088910897,1031.034953840812,304.83999558494395
np_eq,30.0,42.72705122861988,39.70448915259738,99.99999189506144,99.9999918950612,58.549728590225484,47.916003833835134,85.91089589206018,63.00269493494011,70.96962192020689,62.84872039587298,92.62409756941462,87.22560824998288,75.13023118259808
np_eq,45.0,16.081616266530528,12.092360541435706,,,116.7425640221355,71.81035702107319,22.85997870189629,15.394682911278997,25.160918650775,20.74402373755168,98.24604163666892,98.2403207250186,55.81822385560124
np_eq,60.0,10.416540891078672,9.232317143026087,,,29.54854254099217,23.119719441388106,16.87006336652077,14.568084521270876,14.739347654923169,13.14318669241926,,,17.893623613378693
np_eq,75.0,6.390388223859306,5.551843837772954,,,9.921195768115199,8.437552939856316,11.963474748710986,10.745543629432985,9.21893875219838,7.905931060788679,,,9.373499373220968
edm,0.75,29.086827037096526,21.146737854374237,43.752782957728954,29.108829768564494,27.66413825029656,16.69755176447203,61.656331015918354,46.96813701056846,48.188069904099315,36.56829714971141,66.92419181883415,63.42180868752601,46.212056830662306
edm,1.0,27.24154365507685,18.153964948581415,53.40793216130801,30.594543839090143,37.39911302662502,25.552170349108774,18.230588727210723,15.523813352199307,70.08043664342797,41.995565532132105,32.50322253376697,27.234482692558625,39.810472791235924
edm,2.0,24.34828579096805,17.28466242212084,96.39034579478285,48.98982998926592,37.67474868098272,22.044532401671535,99.5354486595235,44.02390499743953,68.31154076600701,41.80623410029141,40.1851274836365,38.02175588728637,61.074249529316766
edm,3.0,40.099573680376125,30.162119153401797,47.88007370650813,24.158302463759746,44.22396515922938,29.139223912290895,59.51994496514706,44.863178104545604,99.85322143620091,70.8418361283952,48.040525942184736,45.840583380543585,56.60288414827439
edm,15.0,151.7103778042997,136.3278973516615,63.57756515287478,38.735395964636304,80.00272690712998,75.67812520428285,398.561202764704,328.2114259258062,345.0980179837978,287.22296175175103,112.25617978608626,96.73143533673722,191.86767839981542
edm,30.0,51.95472377677714,49.753570341532594,45.31398418337312,42.93850185108987,61.01364475992307,51.65094251575207,121.68707947505999,103.58446405151403,83.47885234451114,72.30168451508773,82.44500137756071,80.96421366104825,74.31554765286752
edm,45.0,19.99496032385973,14.200972376732182,,,131.56743824755483,81.71335292751942,28.978580183314026,17.982173129970295,30.351611007986275,24.44008400774029,97.38696658953111,97.3831921981412,61.6559112704492
edm,60.0,10.537578735349564,9.06649495952869,,,33.35640713785297,26.129952080869423,20.450540284814604,17.969359817836576,18.301155001259076,16.11256766601978,,,20.661420289819052
edm,75.0,8.281668122195766,6.075756359988271,,,11.466328799693205,9.596509380548028,14.928700394752333,13.578009124536019,12.009516515707453,10.399127787662893,,,11.671553458087189
