flame,kind,point,x_over_d,r_over_d,F,T_K,Y_O2,Y_N2,Y_H2O,Y_CH4,Y_CO,Y_CO2,Y_OH,Y_H2,Y_NO,Y_CO_LIF
D,Yave,01,1.0,-0.6,0.6058,1471.0,0.0836,0.685,0.0712,0.0568,0.0224,0.0809,0.000663,0.00088,9.83e-06,0.0211
D,Yave,01,1.0,-0.53,0.7889,780.0,0.165,0.661,0.0271,0.109,0.00681,0.0301,5.58e-05,0.000394,3.28e-06,0.00675
D,Yave,01,1.0,-0.46,0.9418,406.0,0.193,0.65,0.00713,0.144,0.0,0.00485,0.0,7.03e-05,8.38e-07,0.000948
D,Yave,01,1.0,-0.39,1.0083,306.0,0.195,0.646,0.00124,0.157,0.0,0.000165,0.0,8.63e-06,2.22e-07,0.00014
D,Yave,01,1.0,-0.04,1.0051,288.0,0.196,0.647,0.000489,0.157,8.48e-05,0.0,2.03e-07,7.24e-07,9.9e-08,4.35e-05
D,Yave,01,1.0,0.38,1.0143,302.0,0.194,0.646,0.00104,0.158,0.000283,0.000547,3.27e-07,1.11e-05,1.26e-07,0.000116
D,Yave,01,1.0,0.44,0.9834,393.0,0.18,0.654,0.00722,0.15,0.00184,0.00737,4.08e-06,9.84e-05,6.03e-07,0.000849
D,Yave,01,1.0,0.51,0.8486,690.0,0.14,0.678,0.0284,0.119,0.00906,0.0289,6.36e-05,0.0004,2.87e-06,0.00519
D,Yave,01,1.0,0.58,0.567,1385.0,0.0647,0.71,0.0736,0.051,0.0223,0.0782,0.000931,0.000805,1.04e-05,0.0207
D,Yave,01,1.0,0.65,0.3378,1877.0,0.04,0.723,0.1,0.00493,0.0142,0.111,0.00275,0.000461,1.85e-05,0.0175
D,Yave,01,1.0,0.72,0.2806,1893.0,0.0505,0.734,0.0953,0.00105,0.0045,0.11,0.00264,0.000168,1.61e-05,0.00657
D,Yave,01,1.0,0.79,0.2712,1887.0,0.0527,0.736,0.0928,0.000881,0.00298,0.111,0.00228,9.66e-05,1.52e-05,0.00425
D,Yave,01,1.0,0.93,0.2688,1881.0,0.0524,0.737,0.0925,0.000672,0.00209,0.112,0.00203,8.28e-05,1.47e-05,0.00338
D,Yave,01,1.0,1.07,0.2612,1807.0,0.0581,0.737,0.0911,0.000597,0.00199,0.109,0.00169,4e-05,1.34e-05,0.00285
D,Yave,01,1.0,1.21,0.2063,1499.0,0.097,0.738,0.0736,0.000187,0.000865,0.0889,0.000755,3.81e-05,8.82e-06,0.00142
D,Yave,01,1.0,1.35,0.0813,872.0,0.182,0.75,0.0347,2.97e-05,0.000274,0.0326,6.12e-05,2.26e-05,2.98e-06,0.000804
D,Yave,01,1.0,1.49,0.013,433.0,0.225,0.759,0.0121,0.0,0.0,0.0035,1.44e-08,1.61e-05,4.5e-07,0.000175
D,Yave,01,1.0,1.62,0.0002,330.0,0.23,0.763,0.0063,0.0,0.0,6.25e-05,5.09e-08,8.15e-06,1.48e-07,3.05e-05
D,Yave,01,1.0,1.9,0.0,300.0,0.231,0.763,0.00603,2.86e-06,0.0,0.0,1.02e-09,5.85e-06,1.39e-07,2.62e-05
D,Yave,02,2.0,-0.67,0.5611,1666.0,0.054,0.694,0.0888,0.0407,0.0315,0.091,0.00081,0.00136,2.26e-05,0.0294
D,Yave,02,2.0,-0.6,0.7228,1125.0,0.121,0.669,0.0504,0.0845,0.021,0.0542,0.000127,0.00107,1.05e-05,0.0194
D,Yave,02,2.0,-0.53,0.81,723.0,0.163,0.663,0.0258,0.113,0.00806,0.0261,2.1e-05,0.000532,4.48e-06,0.00843
D,Yave,02,2.0,-0.46,0.9067,452.0,0.187,0.655,0.00993,0.137,0.000868,0.0083,5.57e-08,0.000161,1.54e-06,0.00257
D,Yave,02,2.0,-0.39,0.965,340.0,0.194,0.65,0.00339,0.149,0.0,0.00193,0.0,4.26e-05,5.57e-07,0.000695
D,Yave,02,2.0,-0.32,0.9873,304.0,0.196,0.649,0.00126,0.154,0.0,0.000245,0.0,1.32e-05,1.95e-07,0.000167
D,Yave,02,2.0,0.11,0.9976,290.0,0.195,0.649,0.000488,0.156,5.66e-05,0.0,1.77e-07,2.48e-06,8.82e-08,2.42e-05
D,Yave,02,2.0,0.38,0.9891,334.0,0.189,0.651,0.00284,0.153,0.000543,0.00273,1.37e-07,4.92e-05,3.93e-07,0.000589
D,Yave,02,2.0,0.44,0.9479,447.0,0.175,0.658,0.0107,0.143,0.00292,0.0105,3.51e-06,0.000211,1.37e-06,0.00242
D,Yave,02,2.0,0.51,0.8589,679.0,0.146,0.672,0.0272,0.121,0.00945,0.0258,2.12e-05,0.00054,4.03e-06,0.00729
D,Yave,02,2.0,0.58,0.6996,1100.0,0.0929,0.697,0.0563,0.0799,0.0219,0.0542,0.000157,0.00105,1.09e-05,0.0187
D,Yave,02,2.0,0.65,0.4924,1666.0,0.0403,0.709,0.0925,0.0282,0.0316,0.096,0.00133,0.00115,2.63e-05,0.0314
D,Yave,02,2.0,0.72,0.3521,1943.0,0.0306,0.722,0.105,0.0042,0.018,0.113,0.00286,0.00059,2.9e-05,0.0217
D,Yave,02,2.0,0.79,0.2947,1953.0,0.0422,0.732,0.1,0.00095,0.00681,0.112,0.00281,0.00021,2.34e-05,0.00908
D,Yave,02,2.0,0.93,0.2638,1861.0,0.055,0.737,0.0914,0.000541,0.00121,0.112,0.00165,5.61e-05,1.61e-05,0.00245
D,Yave,02,2.0,1.07,0.2331,1698.0,0.0749,0.739,0.0817,0.000343,0.0,0.101,0.000957,1.35e-05,1.25e-05,0.00118
D,Yave,02,2.0,1.21,0.1698,1356.0,0.119,0.744,0.0619,0.000104,2.38e-05,0.0742,0.000387,2.14e-05,8.33e-06,0.000708
D,Yave,02,2.0,1.35,0.1085,1008.0,0.16,0.751,0.0425,5.44e-05,0.0,0.0467,0.000119,2.12e-05,4.6e-06,0.000422
D,Yave,02,2.0,1.49,0.0655,755.0,0.188,0.755,0.0283,4.22e-05,0.0,0.028,3.46e-05,1.44e-05,2.84e-06,0.000233
D,Yave,02,2.0,1.62,0.0172,444.0,0.221,0.76,0.0127,0.0,0.0,0.00669,5.18e-06,1.02e-05,8.71e-07,6.21e-05
D,Yave,02,2.0,1.9,0.0,298.0,0.23,0.764,0.00591,0.0,0.0,0.0,4.24e-08,4.68e-06,2.21e-07,3.02e-05
D,Yave,03,3.0,-0.74,0.5055,1775.0,0.0385,0.703,0.0993,0.0281,0.0317,0.0985,0.00121,0.00137,2.77e-05,0.0304
D,Yave,03,3.0,-0.6,0.7542,983.0,0.132,0.669,0.043,0.0938,0.0177,0.0431,4.05e-05,0.00102,8.78e-06,0.0174
D,Yave,03,3.0,-0.46,0.881,505.0,0.18,0.659,0.0133,0.131,0.00312,0.0119,1.77e-06,0.000281,2.06e-06,0.00422
D,Yave,03,3.0,-0.32,0.9668,326.0,0.194,0.651,0.00259,0.15,0.0,0.00145,0.0,3.8e-05,3.52e-07,0.000621
D,Yave,03,3.0,-0.18,0.9878,293.0,0.196,0.649,0.00063,0.154,4.36e-05,0.0,1.93e-07,2.63e-06,1.54e-07,8.36e-05
D,Yave,03,3.0,-0.04,0.9871,291.0,0.196,0.65,0.000517,0.154,0.0,0.0,1.11e-07,2.2e-06,7.5e-08,4.84e-05
D,Yave,03,3.0,0.1,0.9902,290.0,0.195,0.65,0.00052,0.155,2.36e-05,0.0,1.62e-07,3.23e-06,7.5e-08,3.87e-05
D,Yave,03,3.0,0.24,0.995,298.0,0.195,0.649,0.000798,0.155,0.000138,0.000128,2.32e-07,9.38e-06,1.79e-07,0.00013
D,Yave,03,3.0,0.38,0.9645,377.0,0.185,0.655,0.0057,0.148,0.00153,0.00536,1.18e-06,0.00012,6.73e-07,0.00136
D,Yave,03,3.0,0.51,0.8553,679.0,0.148,0.671,0.027,0.12,0.01,0.0251,1.16e-05,0.000629,3.97e-06,0.00835
D,Yave,03,3.0,0.65,0.5939,1437.0,0.0594,0.701,0.0802,0.0498,0.0319,0.0768,0.00045,0.00143,2.07e-05,0.031
D,Yave,03,3.0,0.79,0.3384,1937.0,0.0324,0.725,0.105,0.00306,0.0157,0.112,0.00293,0.000558,3.03e-05,0.0187
D,Yave,03,3.0,0.93,0.2563,1804.0,0.0636,0.736,0.0894,0.000668,0.00204,0.105,0.00192,8.4e-05,1.66e-05,0.00362
D,Yave,03,3.0,1.07,0.2009,1529.0,0.0976,0.742,0.0718,0.000262,0.000404,0.0872,0.000747,2.74e-05,1.04e-05,0.000853
D,Yave,03,3.0,1.21,0.1539,1270.0,0.128,0.747,0.0568,0.000181,6.71e-05,0.067,0.000321,1.39e-05,6.98e-06,0.000459
D,Yave,03,3.0,1.35,0.1369,1170.0,0.14,0.748,0.0511,4.62e-05,0.0,0.0606,0.000177,4.77e-06,6.1e-06,0.000326
D,Yave,03,3.0,1.49,0.1003,960.0,0.165,0.751,0.0392,0.00014,0.0,0.0439,9.26e-05,9.67e-06,4.07e-06,0.000179
D,Yave,03,3.0,1.62,0.0538,686.0,0.197,0.755,0.0244,2.51e-05,0.0,0.0232,2.97e-05,1.33e-05,2.37e-06,9.94e-05
D,Yave,03,3.0,1.9,0.0,302.0,0.23,0.764,0.00628,1.3e-05,0.0,0.0,0.0,5.11e-06,1.44e-07,2.17e-05
D,Yave,03,3.0,2.18,0.0,294.0,0.231,0.763,0.00601,0.0,0.0,0.0,0.0,4.51e-06,9e-08,1.13e-05
D,Yave,075,0.75,-2.78,0.0,291.0,0.23,0.764,0.00602,0.0,0.0,0.0,5.1e-08,3.36e-06,1.59e-07,2.75e-05
D,Yave,075,0.75,-2.78,0.0,290.0,0.23,0.764,0.00593,0.0,0.0,0.0,2.56e-08,4.93e-06,8.92e-08,1.18e-05
D,Yave,075,0.75,-0.28,0.927,425.0,0.185,0.655,0.00872,0.14,0.00207,0.00745,7.48e-07,0.000206,1.6e-06,0.00304
D,Yave,075,0.75,-0.14,0.9671,335.0,0.192,0.651,0.00317,0.15,0.0004,0.00217,0.0,6.08e-05,5.58e-07,0.000996
D,Yave,075,0.75,0.0,0.986,307.0,0.194,0.65,0.00144,0.154,1.4e-05,0.000631,0.0,1.83e-05,2.45e-07,0.000429
