flame,point,x_over_d,kind,r_over_d,F,F_rms,T,T_rms,Y_O2,Y_N2,Y_H2O,Y_CH4,Y_CO,Y_CO2,Y_OH,Y_H2,Y_NO,Y_CO_LIF
C,01,1.0,Yave,-0.53,0.7852,0.0723,795.0,239.0,0.166,0.659,0.0276,0.108,0.00858,0.0301,4.32e-05,0.000515,3.31e-06,0.00799
C,01,1.0,Yave,-0.46,0.922,0.064,414.0,98.0,0.196,0.65,0.00712,0.141,0.0,0.00484,0.0,0.000106,5.95e-07,0.00106
C,01,1.0,Yave,-0.39,0.9902,0.0343,313.0,24.0,0.198,0.646,0.00145,0.154,6.72e-05,0.0,1.15e-07,1.81e-05,2.56e-07,0.000141
C,01,1.0,Yave,-0.32,1.0,0.0275,292.0,4.0,0.197,0.646,0.000543,0.156,0.000394,0.0,4.28e-07,2.69e-06,1.62e-07,3.63e-05
C,01,1.0,Yave,-0.25,1.0008,0.025,289.0,3.0,0.197,0.646,0.00052,0.156,0.000519,0.0,4.86e-07,3.96e-06,1.58e-07,4.4e-05
C,01,1.0,Yave,-0.04,1.0004,0.0272,289.0,3.0,0.198,0.646,0.0005,0.156,0.000537,0.0,5.1e-07,4.86e-06,6.73e-08,4.6e-05
C,01,1.0,Yave,0.17,0.9988,0.0266,290.0,3.0,0.198,0.646,0.000537,0.156,0.000464,0.0,5.13e-07,4.32e-06,1.69e-07,4.4e-05
C,01,1.0,Yave,0.24,0.9942,0.0272,289.0,3.0,0.197,0.647,0.000557,0.155,0.000421,0.0,4.76e-07,6.56e-06,1.47e-07,3.56e-05
C,01,1.0,Yave,0.31,0.996,0.0276,292.0,4.0,0.198,0.646,0.000551,0.156,0.000551,0.0,5.84e-07,5.87e-06,2.37e-07,6.76e-05
C,01,1.0,Yave,0.38,0.9969,0.0279,306.0,18.0,0.196,0.647,0.00102,0.155,0.000709,0.000283,7.02e-07,1.96e-05,2.02e-07,0.000154
C,01,1.0,Yave,0.44,0.9739,0.0481,403.0,90.0,0.181,0.655,0.00734,0.149,0.00244,0.00722,4.55e-06,0.000142,6.29e-07,0.00114
C,01,1.0,Yave,0.51,0.812,0.1012,768.0,237.0,0.131,0.683,0.033,0.11,0.012,0.0338,5.35e-05,0.000569,3.78e-06,0.00754
C,01,1.0,Yave,0.58,0.54,0.0902,1520.0,259.0,0.0471,0.712,0.0829,0.0406,0.0279,0.0888,0.000813,0.00104,1.46e-05,0.0268
C,01,1.0,Yave,0.65,0.3643,0.0247,1927.0,55.0,0.0274,0.719,0.104,0.00498,0.0212,0.118,0.00275,0.000631,2.02e-05,0.0228
C,01,1.0,Yave,0.72,0.3037,0.0161,1956.0,43.0,0.0388,0.73,0.0998,0.00141,0.00698,0.117,0.00287,0.000213,1.7e-05,0.00938
C,01,1.0,Yave,0.79,0.2814,0.0143,1946.0,42.0,0.0467,0.733,0.0959,0.000632,0.00348,0.116,0.00239,0.000105,1.55e-05,0.00452
C,01,1.0,Yave,0.86,0.2745,0.0139,1928.0,43.0,0.0487,0.735,0.0939,0.000518,0.00188,0.117,0.00199,3.85e-05,1.39e-05,0.00305
C,01,1.0,Yave,0.93,0.2729,0.0135,1902.0,45.0,0.0502,0.735,0.0931,0.000616,0.00167,0.117,0.00176,5.96e-05,1.29e-05,0.00231
C,01,1.0,Yave,1.0,0.2687,0.0137,1861.0,42.0,0.0523,0.736,0.0919,0.000775,0.0011,0.115,0.00154,1.48e-05,1.15e-05,0.00187
C,01,1.0,Yave,1.07,0.2578,0.013,1778.0,46.0,0.0604,0.734,0.0892,0.000272,0.000536,0.113,0.00126,2.87e-05,1.15e-05,0.00146
